Station Name,Street Address,City,State,ZIP,Expected Date,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date
Sacramento County Public Garage,725 7th St,Sacramento,CA,95814,,Public,,,,GPS,38.58431244,-121.4956055,2017-05-04,1495,2018-02-06 21:00:03 UTC,1995-08-30
LADWP - Truesdale Center,11791 Truesdale St,Sun Valley,CA,91352,,Private - Government only,,4,,200-8,34.249396,-118.387136,2016-10-04,1517,2018-01-09 07:16:17 UTC,1999-10-15
LADWP - West LA District Office,1394 S Sepulveda Blvd,Los Angeles,CA,90024,,Public,,3,2,200-8,34.052542,-118.448504,2016-10-04,1519,2018-01-09 07:16:16 UTC,1999-10-15
Southern California Edison - Rosemead Office Building 1 ,2244 Walnut Grove Ave,Rosemead,CA,91770,,Private,22,22,,200-9,34.050787,-118.081822,2017-06-02,1520,2018-02-06 21:00:03 UTC,2011-08-01
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,,Public,1,2,,200-9,34.040286,-118.268245,2017-05-04,1523,2018-02-06 21:00:03 UTC,1995-08-30
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,,Public,,161,,200-9,34.057217,-118.249034,2016-10-04,1525,2018-01-09 06:48:01 UTC,1999-10-15
Cherokee-Whitley Garage,1718 N Cherokee Ave,Los Angeles,CA,90028,,Public,,4,,200-8,34.102404,-118.334758,2017-09-06,1526,2018-02-06 21:00:03 UTC,1995-08-15
LADWP - Haynes Power Plant,6801 Westminster Ave,Long Beach,CA,90803,,Private,,10,,,33.7591913,-118.0085681,2016-10-04,1531,2017-11-27 21:20:21 UTC,1999-10-15
State Capitol Parking Garage,1303 10th St,Sacramento,CA,95814,,Private - Government only,,4,,200-8,38.576769,-121.495022,2017-05-04,1533,2018-02-06 21:00:03 UTC,1996-10-15
CITYOFSANTAROSA,100 Santa Rosa Ave
Santa Rosa,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,1546,2018-01-09 05:29:12 UTC,,,,
LADWP - Wilmington,161 N Island Ave,Wilmington,CA,90744,,Private - Government only,,3,,200-8,33.770508,-118.265628,2016-10-04,1552,2018-01-09 06:43:12 UTC,1999-10-15
LADWP - Sylmar Center,13101 Sepulveda Blvd,Sylmar,CA,91344,,Private - Government only,,2,,200-8,34.30309,-118.480505,2016-10-04,1556,2018-01-09 07:05:44 UTC,1999-10-15
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,,Private - Government only,,14,1,200-8,34.066801,-118.227605,2016-10-04,1572,2018-01-09 06:40:28 UTC,1999-10-15
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,,Private - Government only,,3,,200-8,34.036777,-118.368841,2016-10-04,1573,2018-01-09 07:05:46 UTC,1999-10-15
LADWP - Ducommun Center,433 E Temple St,Los Angeles,CA,90012,,Private - Government only,,11,,200-9,34.050564,-118.236936,2016-10-04,1575,2018-01-09 07:05:42 UTC,1999-10-15
California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,,Public,,4,,GPS,34.06872,-118.064,2017-07-06,1583,2018-02-06 21:00:03 UTC,1996-10-15
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,,Private - Government only,,4,,200-8,34.040191,-118.235077,2016-10-04,1589,2018-01-09 06:40:28 UTC,1999-10-15
HP PALO ALTO,3000 Hanover St
B20-SECURITY #2; The station is located on the south side of Building 20
B20-SECURITY #3
UNIT 3; HP use only
UNIT 4; HP use only
UNIT 1; - HP use only
Palo Alto,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,1593,2018-01-09 05:56:24 UTC,,,,
Scripps Green Hospital,10666 N Torrey Pines Rd, level G",La Jolla,CA,E,,,,2,,GPS,32.89947,-117.243,2017-08-02,6355,
Santa Monica Place Mall Garage #7 Civic Center ,395 Broadway,Santa Monica,CA,90401,,Public,,3,,200-9,34.01448,-118.494322,2017-05-04,6377,2018-02-06 21:00:03 UTC,1997-07-30
San Diego Wild Animal Park,15500 San Pasqual Valley Rd,Escondido,CA,92027,,Public,,2,,200-9,33.094682,-117.003568,2017-06-02,6384,2018-02-06 21:00:03 UTC,2014-09-02
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,,Public - Call ahead,,2,,200-9,34.221433,-118.46837,2017-05-04,6405,2018-02-06 21:00:03 UTC,2012-12-11
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,,Public,,6,,GPS,33.91115,-117.4591,2017-07-06,6425,2018-02-06 21:00:03 UTC,1997-08-30
Kaiser Permanente - Fontana,9961 Sierra Ave.,Fontana,CA,92335,,Public,,4,,GPS,34.073878,-117.43098,2018-01-04,6429,2018-01-04 21:28:45 UTC,
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,,Public,,8,,200-8,34.14762,-118.147111,2017-07-06,6505,2018-02-06 21:00:03 UTC,1997-08-30
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,,Public,,2,,200-8,34.145015,-118.152223,2017-07-06,6506,2018-02-06 21:00:03 UTC,1997-08-30
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,,Public,,3,,200-8,34.144506,-118.150015,2017-07-06,6507,2018-02-06 21:00:03 UTC,1997-08-30
Pasadena Hilton,150 S Los Robles,Pasadena,CA,91101,,Public,,2,,200-9,34.142973,-118.141371,2017-05-04,6508,2018-02-06 21:00:03 UTC,1997-08-31
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,,Public,,,,200-9,34.118331,-118.150294,2017-05-04,6509,2018-02-06 21:00:03 UTC,1997-08-31
Ace Parking - Aventine,3777 La Jolla Village Dr,San Diego,CA,92122,,Public,,3,,GPS,32.870925,-117.225644,2018-01-04,7169,2018-01-04 21:36:12 UTC,
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,,Public,,1,,GPS,33.7637,-118.192,2017-05-04,7172,2018-02-06 21:00:03 UTC,2012-05-04
Century City Shopping Center,10250 Santa Monica Blvd,Los Angeles,CA,90067,,Public,4,,,200-9,34.06,-118.4198,2017-05-04,7177,2018-02-06 21:00:03 UTC,1998-06-15
Hilton - Los Angeles International Airport - Tesla,5711 W Century Blvd,Los Angeles,CA,90045,,Public,,2,,200-9,33.945581,-118.381103,2017-12-05,7180,2018-02-06 21:00:03 UTC,2015-08-01
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,,Public,,20,,GPS,33.94325,-118.403342,2017-05-04,7184,2018-02-06 21:00:03 UTC,1998-06-30
Newport Fashion Island,550 Newport Center Dr,Newport Beach,CA,92660,,Public,,,,200-8,33.616365,-117.872257,2017-06-02,7190,2018-02-06 21:00:03 UTC,1998-05-30
Northridge Fashion Center,9301 Tampa Ave,Northridge,CA,91324,,Public,,7,,200-9,34.239114,-118.553575,2017-05-04,7192,2018-02-06 21:00:03 UTC,1998-05-30
Ontario Airport Hilton,700 N Haven Ave,Ontario,CA,91764,,Public,,1,,GPS,34.07122,-117.575,2017-05-04,7194,2018-02-06 21:00:03 UTC,1998-06-15
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,,Public,,2,,GPS,34.22935,-119.173,2017-05-04,7195,2018-02-06 21:00:03 UTC,1998-05-30
Hilton Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,,Public,,1,,GPS,33.823353,-116.5436,2017-05-04,7196,2018-02-06 21:00:03 UTC,2011-12-12
East Bay Mini,4340 Rosewood Dr,Pleasanton,CA,94588,,Public,,2,,200-8,37.700187,-121.876172,2017-05-04,7197,2018-02-06 21:00:03 UTC,2012-12-14
CNTYOFRIVERSIDE,3535 12th Street
12TH ST PRKNG#4; Near main entrance off 12th street
12TH ST PRKNG#1
Riverside,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,7205,2018-01-09 06:32:30 UTC,,,,
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,,Public,,,2,,GPS,34.0189,-117.38,2017-05-04,7206,
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,,Public,,4,,GPS,38.69005,-121.58889,2017-05-04,7212,2018-02-06 21:00:03 UTC,1998-06-30
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,,Public,,2,,200-9,34.017059,-118.447138,2017-05-04,7229,2018-02-06 21:00:03 UTC,1998-06-30
